,Sample name,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Name,
30975,,,,,,,,,,,,,,,,,,,,,,,,,652606,,,,,,,
30974,,,,,,,,,,,,,,,,,,,,,,,,,,514580,,,164146,,,
30972,,,,264910,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30965,,,272020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30961,,,,,,,,,,,,,65339,,,,,,,,,,,,,,,,,,,
30955,,,,273622,,,,,,,,,,,,,,,,,,,,449241,,,,,,,,
30953,,,,,,,,,,,,,,,479443,,,,,,,,,,,,,,,,,
30952,,,,,,,,,,,,,,350148,,,,,,,,,,,,,,,,,,
30951,,,,,,,,,,,,,,,,,,,,170541,,,,,,,,,,,,
30948,,,,,,,216372,216372,,150780,,113296,,,,,,,208298,,,152579,,,,,,,,207450,,
30947,,,,,,,,,,,,,,,,,,,,,,,,,,,,359769,,,172169,
30946,,,,,,,,,195464,,137934,,,,,,,,,,,,,,,,,,249156,,,136209
30944,,,,,,,,,,,,,,,,,,248242,,,,,,,,,,,,,,
30943,,,,,331845,331845,,,,,,,,,,,,,,,152582,,,,,,408634,,,,,
30942,,,,,,,,,,,,,,,,416707,,,,,,,,,,,,,,,,
30941,,,,,,,,,,,,,,,,,369757,,,,,,93687.6,,,407135,,,,,,
30937,,,,293478,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30936,,,309489,,,,,,,,,,80951.1,,,,,,,,,,,,,,,,,,,
30934,,,,,,,,,,,,,,,474029,,,,,,,,,,553537,,,,,,,
30919,,191352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30909,,,,,,,,,,,,,,403160,,,,,,,,,,694159,,,,,,,,
30908,,,,,,,,,,,,,,,,,,,,,,,,,766614,,,,,,,
30906,,,,,,,,,,,,,,,596216,,,,,,,272854,269753,,,,,,,,,
30905,,,,,,,,,,,,255751,219369,,,,,,,,300521,,,,,,,,,408856,322469,311276
30904,,,,,,,,,,,260637,,,,,,,,,379201,,,,,,,,522132,401488,,,
30903,,,,,,,,,,297595,,,,,,,,,428235,,,,,,,,,,,,,
30902,,,,,,,,,355673,,,,,,,,501270,,,,,,,,,,623556,,,,,
30901,,,,,,,406775,406775,,,,,,,,,,443331,,,,,,,,,,,,,,
30899,,,,497578,,,,,,,,,,,,602432,,,,,,,,,,,,,,,,
30898,,,,,433884,433884,,,,,,,,,,,,,,,,,,,,,,,,,,
30897,,,,,,,,,,,,,,,,,,,,,,,,,,518897,,,,,,
30890,,,587845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30886,,206178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30884,,,,,,,,,,,,,,,596651,,,,,,,,,,,,,,,,,
30882,,,,,,,,,,,,,,,,,,,,,,,,,662851,,,,,172897,,
30881,,,,,,,,,,,,,,457342,,,,,,,,,,,,,,,,,,
30880,,,,,,,,,,,,65092.3,,,,,,,,112565,,,,,,,,,,,,
30862,,,,,,,,,,,,,,441392,,,,,,,,,,656099,,,,,,,,
30861,,,,,,,,,,315865,,,150541,,,,,,,,,201097,128020,,,,,,,,,147024
30860,,,,,,,,,363884,,,187738,,,,,,,,,249597,,,,,,,,348027,311924,200570,
30859,,,,,,,,,,,211932,,,,,,,489761,,309019,,,,,,,476900,,,,,
30858,,241059,,,425771,425771,418568,418568,,,,,,,,,499392,,391745,,,,,,880701,636090,,,,,,
30857,,,,,,,,,,,,,,,,,,,,,,,,,,,,402892,,,,
30856,,,,,,,,,,,,,,,630168,,,,,,,,,,,,,,,,,
30855,,,602595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30843,,,,,,,,,,,,,,,,758926,,,,,,,,,,,,,270695,220508,,
30842,,,,,,,,,,,,,,,,,,370318,,,,,,,,,,,,,,147704
30841,,,,,,,,,242211,,,,,,,,434851,,,,133746,172438,,,,,623533,,,,,
30840,,,,,396999,396999,,,,,,,,,,,,,,,,,,647399,866516,805237,,,,,,
30839,,,,565883,,,,,,,117021,,,,701988,,,,,,,,,,,,,,,,,
30838,,,,,,,,,,164162,,133011,,,,,,,,,,,,,,,,,,,,
30833,,206492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30822,,,,,,,,,,,,,119572,395185,,,,,,,,,,,,,,,,,,
30815,,,524113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30814,,165287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30805,,,,,,,,,,,,205235,,,,,,,,,,,,,,,,,,,,
30804,,,,,,,,,,,,,,,,,,,,,,193430,,,,,,,,,328995,
30803,,,,,,,,,,,,,,,,,,,,410946,308298,,,,,,,,646659,464751,,291198
30802,,,,,,,,,469308,,,,,,,,,,561874,,,,168590,,,,,889985,,,,
30801,,,,,,,,,,289715,279393,,,,,,,732384,,,,,,,,,,,,,,
30800,,,,,,,629186,629186,,,,,168321,,,,,,,,,,,,,,1198490,,,,,
30799,,,,,,,,,,,,,,,,,853055,,,,,,,,,,,,,,,
30798,,,,,794036,794036,,,,,,,,,,,,,,,,,,,,1431450,,,,,,
30797,,,,,,,,,,,,,,,,1422380,,,,,,,,,,,,,,,,
30796,,,,1229620,,,,,,,,,,,,,,,,,,,,,1801310,,,,,,,
30794,,,,,,,,,,,,,,,1537770,,,,,,,,,,,,,,,,,
30793,,,1469100,,,,,,,,,,,,,,,,,,,,,1077000,,,,,,,,
30791,,,,,,,,,,,,,,804547,,,,,,,,,,,,,,,,,,
30790,,790973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30762,,,,,,,,,,,303178,234943,,,,,,,,,401439,,204628,,,,,,,690501,,
30761,,,,,,,,,,432286,,,185346,,,,,,671404,,,290537,,,,,,1056140,926550,,,319347
30760,,,,,,,596276,596276,485312,,,,,,,,,907701,,525457,,,,,,,,,,,443821,
30759,,,,,770214,770214,,,,,,,,,,,948642,,,,,,,,,,1102570,,,,,
30758,,,,,,,,,,,,,,,,1392660,,,,,,,,,,,,,,,,
30757,,,,1119210,,,,,,,,,,,,,,,,,,,,,,1358020,,,,,,
30756,,,,,,,,,,,,,,,1605500,,,,,,,,,,,,,,,,,
30755,,,,,,,,,,,,,,,,,,,,,,,,1239770,1692270,,,,,,,
30754,,,1253160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30753,,,,,,,,,,,,,,788716,,,,,,,,,,,,,,,,,,
30750,,480547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30740,,,,,,,,,,,,,,,,,,,,,,,,,,,568291,,,,,
30738,,,,,,,,,,,,,206705,,,,,,,,,,,,,,,,,,,
30737,,,,,,,,,,,,232932,,,,,,,,330204,,246443,,,,,,,,,,
30736,,,,,,,,,,298635,266913,,,,,,,,,,287333,,203437,,,,,420410,324680,292214,,
30735,,,,,,,,,372486,,,,,,,,583135,367843,319550,,,,,,,,,,,,272265,220953
30734,,,,,585524,585524,422386,422386,,,,,,,,748580,,,,,,,,,,,,,,,,
30719,,,,,,,,,,,,,,,,,,,,225802,,,,,,,,,,,,
30718,,,,,,,,,,,,,,,,,,,,,,,109870,,,,,,,248806,,
30717,,,818397,,,,,,,,,,,,,,,,,,,,,,,,,,392526,,,
30716,,,,,,,,,,,,,136216,,,,,448866,,,,155816,,,,,,,,,,
30715,,,,678266,,,323444,323444,,,,,,,,,,,,,,,,,,,,,,,,
30714,,342615,,,,,,,257454,,,,,,1271760,,,,,,,,,905971,,,,,,,,
30713,,,,,478105,478105,,,,,,,,,,,,,,,,,,,,,,,,,,
30700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425815,,,
30699,,,,,,,,,,,,,,,,,,,,,,,,,,,1017780,,,,,
30698,,,,,,,,,,,,,,,,,,,,,,,,,,,,685653,,301425,,
30697,,,,,923203,923203,,,293653,,,,,,,2073550,982111,565098,351369,,,,,,,2207800,,,,,220911,
30696,,,,1836520,,,486962,486962,,,,,,,,,,,,,,,,,,,,,,,,
30695,,,,,,,,,,,,,,,4017680,,,,,,,,,,4345020,,,,,,,
30694,,,3551820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30693,,2170150,,,,,,,,,,,,3748360,,,,,,,,,,4788490,,,,,,,,
30687,,,,,,,,,,,,,,,,,,,,,,245118,,,,,,,,,,
30682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227546
30681,,,,,,,,,,,,,,,,,,,,,293849,,,,,,,,,,,
30680,,,,,,,,,,,,219348,214640,,,,,,,,,,,,,,,,,,,
30679,,,,,,,,,,,294262,,,,,,,,,324522,,,210928,,,,,,,,,
30678,,,,,,,,,,377788,,,,,,,,,,,,,,,,,,,569819,,348421,
30677,,,,,,,,,,,,,,,,,,,472220,,,,,,,,,,,,,
30676,,,,,,,,,522239,,,,,,,,,,,,,,,,,,,,,435088,,
30675,,,,,693917,693917,653212,653212,,,,,,,,,,741521,,,,,,,,,,,,,,
30674,,,,,,,,,,,,,,,,,,,,,,,,,,,,787500,,,,
30663,,,,,,,,,,,,,,,,,,,,230056,,,,,,,,,,,,
30658,,,,,701205,701205,,,,,,,,,,,815545,,,,,,,,,,1038950,,,,,
30657,,,,1646200,,,,,,,,,,,,1969480,,,,,,,,,,2295890,,,,,,
30656,,,,,,,,,,,,,,,,,,,,,,,,,3439270,,,,,,,
30655,,,,,,,,,,,,,,,2813740,,,,,,,,,,,,,,,,,
30653,,,2412340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30652,,1421560,,,,,,,,,,,,2051540,,,,,,,,,,3305290,,,,,,,,
30639,,,,,,,,,,,,649156,573647,,,,,,,,,,,,,,,,,,,582415
30638,,,,,,,,,,,735706,,,,,,,,,,,685729,510312,,,,,,,,682983,
30637,,,,,,,,,,885901,,,,,,,,,,799652,724698,,,,,,,,975651,829598,,
30636,,,,,,,,,917384,,,,,,,,,,,,,,,,,,,,,,,
30635,,,,,,,,,,,,,,,,,,,958991,,,,,,,,,1072170,,,,
30634,,,,,,,1241220,1241220,,,,,,,,,,1104450,,,,,,,,,,,,,,
