,Sample name,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Name,
34060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173156,,,
34045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141612,,,,,,,,,,,,,,,,,,,,,,
34044,,,,,,,,,,,,,,,,,,150476,,,,,,,,,,,,,,,,,,185200,,,,,,,,,,,,,,,,,,,
34039,,,,,,,,,,,,,,,,,131577,,,,,,,,,,,,,,,,,66603.8,,,57103.4,,,,,,,,,,,,,,,,,,
34038,,,,54147.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34037,,49573.4,28615.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121725,,,,,,,,,,,,,,,,,,,
34003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232545
34001,,,,,,,,,,,,,,,,,,,167891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218727,150486,
33999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99559.3,,,,,,,,,,,,,,,,,,,,
33996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158638,,,
33995,,11462.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208361,,,,,
33971,,,10973.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33970,,,,27041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108340,,,,,,,,,,,,,,,,,,,,
33965,,,,,,,,,,,,,,,,,,124938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373480,156977,239775,249034
33964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94637.2,,,,,,,,,,,,,,,,,,,
33958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98437.9,,,,,,,,,,,,,,,,,,,,,,,,
33955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190028,,,,,,,,,,,,,,,,,,,,,,
33934,,,,,,,,,,,,,,,,,,68961.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299088,,,
33928,,11505.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150449,,,,,,,,,,,,,,,,,,,
33923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277659,
33922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77442,,,,,,,,,,,,,,,,,,
33921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98617.9,,,,,,,,,,,,,,,,,,,210105,,
33920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128980,,,,,,,,,,,,,,,,,,,,
33904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156226,,,,,,,,,,,,,,,,,,,,,,
33901,,35773.6,,,,,,,,,,,,,,,,70249.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102239,,,,,104724,,,,,,,,,,,,,,,,,,,
33897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141051,,
33895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343017,,,,,,,
33893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169422,,,
33892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214158,,,,,,
33879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110239,,,,,,,,,,,,,,,,140581,,
33877,,,,,,,,,,,,,,,,,,,,,,,,,,,,154888,,,,,,,,,,,,,,,,,,,,,,,,,,,
33876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106534,,,,,,,,,,,,,,,,,,,,,,,
33875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288372,
33865,,11977.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33860,,,,,,,,,,,,,,,,,182938,,,,,,,,,,,,,,,,,,114778,,,,,,,,,,,,,,,,,,,,
33859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83577.4,,,,,,,,,,,,,,,,,,,
33856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69815.7,,,,,,,,,,,,,,,,,,,,,
33855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152310,,
33854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111667,,,,,,,,,,,,,,,,,,,,229927,,,
33853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250997,,,,,,,,,,,,,,,,,,,,,,,,,
33852,,,,,,,,,,,,,,,,,,64820.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125725,,,,,,,,,,,,,,,,,,,,,,
33850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125014,,,,,,,,,,,,,,,,,,,,,,,,
33836,,,29787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33834,,,,27222.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108271,,,,,,,,,,,,,,,,,,,,,,,,
33828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252821,,,
