"","1","2","3","4","Glycan1","Glycan2","Glycan3","Glycan4","mass","probability","Glycan"
"58",947.323,2160.0256,1217.102,0,"Hex(1)HexNAc(1)NeuAc(2)","H4N6F2","H5N2","no glycan",31065.0906,6.70947009405451e-05,"Hex(1)HexNAc(1)NeuAc(2) _ H4N6F2 _ H5N2 _ no glycan"
"59",1021.74,2160.0256,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1)","H4N6F2","H5N2","no glycan",31139.5076,3.81141603750479e-06,"Hex(2)HexNAc(2)NeuAc(1) _ H4N6F2 _ H5N2 _ no glycan"
"60",1063.363,2160.0256,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl","H4N6F2","H5N2","no glycan",31181.1306,4.37757914221602e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H4N6F2 _ H5N2 _ no glycan"
"61",1143.333,2160.0256,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation","H4N6F2","H5N2","no glycan",31261.1006,6.0320155372586e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H4N6F2 _ H5N2 _ no glycan"
"62",1167.423,2160.0256,1217.102,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1)","H4N6F2","H5N2","no glycan",31285.1906,9.46736133376463e-06,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H4N6F2 _ H5N2 _ no glycan"
"63",1209.433,2160.0256,1217.102,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl","H4N6F2","H5N2","no glycan",31327.2006,1.09139511953419e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H4N6F2 _ H5N2 _ no glycan"
"64",1312.453,2160.0256,1217.102,0,"Hex(2)HexNAc(2)NeuAc(2)","H4N6F2","H5N2","no glycan",31430.2206,1.37092596973911e-05,"Hex(2)HexNAc(2)NeuAc(2) _ H4N6F2 _ H5N2 _ no glycan"
"65",656,2207.0359,1217.102,0,"Hex(1)HexNAc(1)NeuAc(1)","H5N4F2S1","H5N2","no glycan",30820.7779,5.80115518772593e-06,"Hex(1)HexNAc(1)NeuAc(1) _ H5N4F2S1 _ H5N2 _ no glycan"
"66",947.323,2207.0359,1217.102,0,"Hex(1)HexNAc(1)NeuAc(2)","H5N4F2S1","H5N2","no glycan",31112.1009,0.000114135570675668,"Hex(1)HexNAc(1)NeuAc(2) _ H5N4F2S1 _ H5N2 _ no glycan"
"67",1021.74,2207.0359,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1)","H5N4F2S1","H5N2","no glycan",31186.5179,6.4836438410909e-06,"Hex(2)HexNAc(2)NeuAc(1) _ H5N4F2S1 _ H5N2 _ no glycan"
"68",1063.363,2207.0359,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl","H5N4F2S1","H5N2","no glycan",31228.1409,7.44675043737762e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H5N4F2S1 _ H5N2 _ no glycan"
"69",1143.333,2207.0359,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation","H5N4F2S1","H5N2","no glycan",31308.1109,1.02611312967857e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H5N4F2S1 _ H5N2 _ no glycan"
"70",1167.423,2207.0359,1217.102,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1)","H5N4F2S1","H5N2","no glycan",31332.2009,1.61050377075158e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H5N4F2S1 _ H5N2 _ no glycan"
"71",1209.433,2207.0359,1217.102,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl","H5N4F2S1","H5N2","no glycan",31374.2109,1.85658484283366e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H5N4F2S1 _ H5N2 _ no glycan"
"72",1312.453,2207.0359,1217.102,0,"Hex(2)HexNAc(2)NeuAc(2)","H5N4F2S1","H5N2","no glycan",31477.2309,2.33209800053988e-05,"Hex(2)HexNAc(2)NeuAc(2) _ H5N4F2S1 _ H5N2 _ no glycan"
"73",656,2248.0885,1217.102,0,"Hex(1)HexNAc(1)NeuAc(1)","H4N5F2S1","H5N2","no glycan",30861.8305,7.57024339732021e-06,"Hex(1)HexNAc(1)NeuAc(1) _ H4N5F2S1 _ H5N2 _ no glycan"
"74",947.323,2248.0885,1217.102,0,"Hex(1)HexNAc(1)NeuAc(2)","H4N5F2S1","H5N2","no glycan",31153.1535,0.000148941723216605,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F2S1 _ H5N2 _ no glycan"
"75",1021.74,2248.0885,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1)","H4N5F2S1","H5N2","no glycan",31227.5705,8.46086001671588e-06,"Hex(2)HexNAc(2)NeuAc(1) _ H4N5F2S1 _ H5N2 _ no glycan"
"76",1063.363,2248.0885,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl","H4N5F2S1","H5N2","no glycan",31269.1935,9.71767027527978e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H4N5F2S1 _ H5N2 _ no glycan"
"77",1143.333,2248.0885,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation","H4N5F2S1","H5N2","no glycan",31349.1635,1.33903091599551e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H4N5F2S1 _ H5N2 _ no glycan"
"78",1167.423,2248.0885,1217.102,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1)","H4N5F2S1","H5N2","no glycan",31373.2535,2.10163409568616e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H4N5F2S1 _ H5N2 _ no glycan"
"79",1209.433,2248.0885,1217.102,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl","H4N5F2S1","H5N2","no glycan",31415.2635,2.42275869084892e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H4N5F2S1 _ H5N2 _ no glycan"
