"Mass","ReconstMass","ReconstAbund","ReconstAnnotation","Methods","Abundance_C2","Abundance_CE","Abundance_HILIC","Mass_original_C2","Mass_original_CE","Mass_original_HILIC","RT_C2","RT_CE","RT_HILIC"
32256,32258,0.00118735252500924,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F3 _ H5N6F1S1 _ no glycan","C2 & CE & HILIC",3508270,3087256.66666667,5839170,32257,32258,32256,10,7,10
32261,32259,0.000960051599919598,"Hex(2)HexNAc(2)NeuAc(2) _ H4N5F3 _ H4N5F3 _ no glycan","C2 & CE",1930060,919617,NA,32261,32262,NA,13,10,NA
32267,32266,0.002878022,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H4N5F2S1 _ extra modification","C2 & HILIC",1831770,NA,3776299,32266,NA,32268,14,NA,8
32273,32275,0.000646006584370412,"Hex(2)HexNAc(2)NeuAc(2) _ H4N5F3 _ H5N5F2 _ no glycan","C2 & HILIC",2977776.66666667,NA,4069228,32273,NA,32273,10,NA,6
32279,32281,0.0004843421,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F2 _ H5N5S2 _ extra modification","C2 & HILIC",2122420,NA,4272586.66666667,32279,NA,32279,11,NA,7
32284,32282,0.002220529,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F3 _ H4N6F1S1 _ extra modification","C2 & HILIC",2192610,NA,2835013.5,32285,NA,32284,12,NA,9
32290,32288,0.00103260453784484,"Hex(1)HexNAc(1)NeuAc(2) _ H5N4F1S2 _ H4N5F2S1 _ no glycan","CE & HILIC",NA,694780.666666667,2464329.5,NA,32287,32289,NA,12,9
32293,32292,0.0002430305157942,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H4N5F3 _ H4N6F1S1 _ no glycan","C2 & CE",2376450,769994,NA,32294,32293,NA,6,5,NA
32297,32299,0.00094575350729423,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H5N6F1S1 _ no glycan","C2 & CE & HILIC",3256940,1362253.33333333,3777040,32298,32297,32297,10,6,10
32302,32304,0.00161956719756775,"Hex(1)HexNAc(1)NeuAc(2) _ H5N4F2S1 _ H5N5S2 _ no glycan","C2",1177567,NA,NA,32302,NA,NA,14,NA,NA
32310,32308,6.30991068557014e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H4N6F2 _ H5N5F1S1 _ no glycan","HILIC",NA,NA,2079635,NA,NA,32310,NA,NA,7
32314,32316,0.000514559054732906,"Hex(2)HexNAc(2)NeuAc(2) _ H3N6F3 _ H5N5F2 _ no glycan","C2 & CE",3130173.33333333,1341433.33333333,NA,32314,32315,NA,8,7,NA
32317,32316,0.000514559054732906,"Hex(2)HexNAc(2)NeuAc(2) _ H3N6F3 _ H5N5F2 _ no glycan","C2",1450204.33333333,NA,NA,32317,NA,NA,12,NA,NA
32321,32323,0.001768702,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H4N6F1S1 _ extra modification","CE & HILIC",NA,1104611.66666667,5868803.33333333,NA,32319,32321,NA,10,12
32327,32329,0.001503788,"Hex(1)HexNAc(1)NeuAc(2) _ H5N4F2S1 _ H4N5F2S1 _ extra modification","C2 & CE",1812733.33333333,461170,NA,32327,32326,NA,14,14,NA
32334,32333,0.000193579377523202,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H3N6F3 _ H4N6F1S1 _ no glycan","C2",1476485.9,NA,NA,32334,NA,NA,2,NA,NA
32337,32339,0.0005432684,"Hex(1)HexNAc(1)NeuAc(2) _ H4N6F2 _ H4N6F1S1 _ extra modification","C2 & CE",1818922.33333333,968907.666666667,NA,32337,32337,NA,9,6,NA
32341,32341,0.00092304388767503,"Hex(2)HexNAc(2)NeuAc(2) _ H3N6F3 _ H3N6F3 _ no glycan","C2 & CE & HILIC",2307573.33333333,597773,4053753.33333333,32344,32340,32342,14,5,10
32345,32345,0.00211346145502959,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F2S1 _ H5N5S2 _ no glycan","HILIC",NA,NA,3216896.66666667,NA,NA,32345,NA,NA,8
32355,32357,0.000303826457749859,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H3N6F3 _ H4N6F1S1 _ no glycan","C2 & CE & HILIC",2524785,1537083.33333333,4433145,32356,32356,32355,9,7,9
32359,32361,0.000716560915451956,"Hex(1)HexNAc(1)NeuAc(2) _ H5N5F1S1 _ H5N5S2 _ no glycan","C2",2731560,NA,NA,32359,NA,NA,11,NA,NA
32362,32361,0.000716560915451956,"Hex(1)HexNAc(1)NeuAc(2) _ H5N5F1S1 _ H5N5S2 _ no glycan","C2 & CE & HILIC",2851673.33333333,1524143.33333333,7649023.33333333,32362,32360,32362,12,8,11
32365,32363,0.000553368693250864,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F3 _ H6N5F2S1 _ no glycan","CE",NA,357064.5,NA,NA,32365,NA,NA,13,NA
32372,32370,0.001962375,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F2S1 _ H4N5F2S1 _ extra modification","C2",481533.3,NA,NA,32371,NA,NA,2,NA,NA
32376,32378,0.00017632433735362,"Hex(1)HexNAc(1)NeuAc(2) _ H6N5S2 _ H5N5F2 _ no glycan","C2",1844623.33333333,NA,NA,32376,NA,NA,8,NA,NA
32379,32381,0.000284156758255084,"Hex(2)HexNAc(2)NeuAc(2) _ H3N6F3 _ H3N6F2 _ extra modification","C2 & CE",3301426.66666667,1036901,NA,32379,32379,NA,9,6,NA
32383,32383,0.0007578127,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H4N5F3 _ H3N6F3 _ extra modification","C2 & CE & HILIC",2274903.33333333,543830.5,6157970,32385,32382,32383,13,11,9
