"","1","2","3","4","Glycan1","Glycan2","Glycan3","Glycan4","mass","probability","Glycan"
"50",947.323,2118.973,1445.3502,0,"Hex(1)HexNAc(1)NeuAc(2)","H5N5F2","H3N4F1","no glycan",31300.5562,0.000203071154099105,"Hex(1)HexNAc(1)NeuAc(2) _ H5N5F2 _ H3N4F1 _ no glycan"
"51",1021.74,2118.973,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1)","H5N5F2","H3N4F1","no glycan",31374.9732,1.07758290245051e-05,"Hex(2)HexNAc(2)NeuAc(1) _ H5N5F2 _ H3N4F1 _ no glycan"
"52",1063.363,2118.973,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl","H5N5F2","H3N4F1","no glycan",31416.5962,8.07237816123314e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H5N5F2 _ H3N4F1 _ no glycan"
"53",1143.333,2118.973,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation","H5N5F2","H3N4F1","no glycan",31496.5662,3.66354571726434e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H5N5F2 _ H3N4F1 _ no glycan"
"54",1167.423,2118.973,1445.3502,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1)","H5N5F2","H3N4F1","no glycan",31520.6562,7.49802135654929e-06,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H5N5F2 _ H3N4F1 _ no glycan"
"55",1209.433,2118.973,1445.3502,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl","H5N5F2","H3N4F1","no glycan",31562.6662,1.24902510645455e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H5N5F2 _ H3N4F1 _ no glycan"
"56",1312.453,2118.973,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(2)","H5N5F2","H3N4F1","no glycan",31665.6862,2.14373699953506e-05,"Hex(2)HexNAc(2)NeuAc(2) _ H5N5F2 _ H3N4F1 _ no glycan"
"57",656,2144.0262,1445.3502,0,"Hex(1)HexNAc(1)NeuAc(1)","H3N6F3","H3N4F1","no glycan",31034.2864,1.14060443282201e-05,"Hex(1)HexNAc(1)NeuAc(1) _ H3N6F3 _ H3N4F1 _ no glycan"
"58",947.323,2144.0262,1445.3502,0,"Hex(1)HexNAc(1)NeuAc(2)","H3N6F3","H3N4F1","no glycan",31325.6094,0.000718834609582395,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H3N4F1 _ no glycan"
"59",1021.74,2144.0262,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1)","H3N6F3","H3N4F1","no glycan",31400.0264,3.81444567256284e-05,"Hex(2)HexNAc(2)NeuAc(1) _ H3N6F3 _ H3N4F1 _ no glycan"
"60",1063.363,2144.0262,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl","H3N6F3","H3N4F1","no glycan",31441.6494,2.8574736917581e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H3N6F3 _ H3N4F1 _ no glycan"
"61",1143.333,2144.0262,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation","H3N6F3","H3N4F1","no glycan",31521.6194,1.29682793552832e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H3N6F3 _ H3N4F1 _ no glycan"
"62",1167.423,2144.0262,1445.3502,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1)","H3N6F3","H3N4F1","no glycan",31545.7094,2.65416192584652e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H3N6F3 _ H3N4F1 _ no glycan"
"63",1209.433,2144.0262,1445.3502,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl","H3N6F3","H3N4F1","no glycan",31587.7194,4.42131960464797e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H3N6F3 _ H3N4F1 _ no glycan"
"64",1312.453,2144.0262,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(2)","H3N6F3","H3N4F1","no glycan",31690.7394,7.58843547201227e-05,"Hex(2)HexNAc(2)NeuAc(2) _ H3N6F3 _ H3N4F1 _ no glycan"
"65",656,2160.0256,1445.3502,0,"Hex(1)HexNAc(1)NeuAc(1)","H4N6F2","H3N4F1","no glycan",31050.2858,2.81741660621601e-06,"Hex(1)HexNAc(1)NeuAc(1) _ H4N6F2 _ H3N4F1 _ no glycan"
"66",947.323,2160.0256,1445.3502,0,"Hex(1)HexNAc(1)NeuAc(2)","H4N6F2","H3N4F1","no glycan",31341.6088,0.00017755994171875,"Hex(1)HexNAc(1)NeuAc(2) _ H4N6F2 _ H3N4F1 _ no glycan"
"67",1021.74,2160.0256,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1)","H4N6F2","H3N4F1","no glycan",31416.0258,9.42209434939517e-06,"Hex(2)HexNAc(2)NeuAc(1) _ H4N6F2 _ H3N4F1 _ no glycan"
"68",1063.363,2160.0256,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl","H4N6F2","H3N4F1","no glycan",31457.6488,7.05826980793519e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H4N6F2 _ H3N4F1 _ no glycan"
