"Mass","ReconstMass","ReconstAbund","ReconstAnnotation","Methods","Abundance_C2","Abundance_CE","Abundance_HILIC","Mass_original_C2","Mass_original_CE","Mass_original_HILIC","RT_C2","RT_CE","RT_HILIC"
32931,32929,2.438564e-05,"Hex(2)HexNAc(2)NeuAc(2) _ H5N6S1 _ H5N6F2 _ extra modification","CE",NA,225292.666666667,NA,NA,32931,NA,NA,11,NA
32937,32939,2.023284e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H5N6F1S2 _ H3N6F3 _ extra modification","HILIC",NA,NA,339145,NA,NA,32937,NA,NA,9
32940,32940,4.679828e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H3N6F3 _ H5N6F2S1 _ extra modification","CE",NA,494067,NA,NA,32940,NA,NA,7,NA
32961,32959,0.0001875154,"Hex(1)HexNAc(1)NeuAc(2) _ H5N5S2 _ H6N6F1S1 _ extra modification","CE & HILIC",NA,340645.333333333,813699.333333333,NA,32962,32961,NA,10,11
32982,32980,2.7962098667716e-06,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H5N4F2S1 _ H6N6F2S1 _ no glycan","CE",NA,405185.333333333,NA,NA,32982,NA,NA,6,NA
32992,32990,0.0002088893,"Hex(1)HexNAc(1)NeuAc(2) _ H6N5F1S2 _ H5N4F1S2 _ extra modification","CE",NA,184211,NA,NA,32992,NA,NA,12,NA
32996,32996,9.6917e-06,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H5N6F1S2 _ H3N7F2 _ extra modification","HILIC",NA,NA,712137,NA,NA,32996,NA,NA,12
33030,33031,0.0002433469,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F2S1 _ H6N5S3 _ extra modification","HILIC",NA,NA,526619,NA,NA,33030,NA,NA,15
33034,33032,0.0001520832,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F3 _ H6N5F1S3 _ extra modification","CE & HILIC",NA,251576,676759,NA,33034,33034,NA,14,14
33037,33035,8.907307e-06,"Hex(2)HexNAc(2)NeuAc(2) _ H6N5F3 _ H5N6F2 _ extra modification","HILIC",NA,NA,542977.666666667,NA,NA,33037,NA,NA,13
33043,33043,8.03212e-05,"Hex(2)HexNAc(2)NeuAc(2) _ H3N6F3 _ H5N6F2S1 _ extra modification","HILIC",NA,NA,523265.333333333,NA,NA,33043,NA,NA,11
33053,33051,6.78921608155206e-06,"Hex(2)HexNAc(2)NeuAc(2) _ H5N6S1 _ H6N6F1S1 _ no glycan","HILIC",NA,NA,396807,NA,NA,33053,NA,NA,8
