"Mass","ReconstMass","ReconstAbund","ReconstAnnotation","Methods","Abundance_C2","Abundance_CE","Abundance_HILIC","Mass_original_C2","Mass_original_CE","Mass_original_HILIC","RT_C2","RT_CE","RT_HILIC"
30434,30432,0.000706995028968552,"Hex(2)HexNAc(2)NeuAc(2) _ H4N5F2","HILIC",NA,NA,1170429.33333333,NA,NA,30434,NA,NA,6
30462,30462,0.00162047095330775,"Hex(1)HexNAc(1)NeuAc(2) _ H5N4F1S2","HILIC",NA,NA,5251350,NA,NA,30462,NA,NA,5
30481,0,0,"","C2 & HILIC",4454360,NA,1397380,30482,NA,30481,3,NA,6
30486,0,0,"","HILIC",NA,NA,863665,NA,NA,30486,NA,NA,17
30497,0,0,"","CE",NA,250813,NA,NA,30497,NA,NA,17,NA
30510,0,0,"","HILIC",NA,NA,1626417,NA,NA,30510,NA,NA,6
30525,0,0,"","C2",1396287.66666667,NA,NA,30525,NA,NA,1,NA,NA
30575,30577,0.000706995028968552,"Hex(2)HexNAc(2)NeuAc(2) _ H4N5F1S1","HILIC",NA,NA,1902070,NA,NA,30575,NA,NA,5
30592,30594,0.000706995028968552,"Hex(2)HexNAc(2)NeuAc(2) _ H5N5F2","CE",NA,194696,NA,NA,30592,NA,NA,14,NA
30622,0,0,"","HILIC",NA,NA,4426570,NA,NA,30622,NA,NA,5
30635,30635,0.000247101427427797,"Hex(2)HexNAc(2)NeuAc(1) _ H4N6S2","HILIC",NA,NA,562807.666666667,NA,NA,30635,NA,NA,4
30663,30665,0.00162047095330775,"Hex(1)HexNAc(1)NeuAc(2) _ H5N5F1S2","HILIC",NA,NA,4372180,NA,NA,30663,NA,NA,5
30678,30676,0.000115832587738461,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H4N6S2","C2",3266615.66666667,NA,NA,30678,NA,NA,2,NA,NA
30711,30709,0.00140952809363913,"Hex(1)HexNAc(1)NeuAc(1) _ H6N8F2","HILIC",NA,NA,4964030,NA,NA,30711,NA,NA,6
30723,30723,0.000147766183512151,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H4N5F1S2","CE",NA,289277,NA,NA,30723,NA,NA,14,NA
30775,0,0,"","HILIC",NA,NA,4240290,NA,NA,30775,NA,NA,6
30797,0,0,"","HILIC",NA,NA,2134723.33333333,NA,NA,30797,NA,NA,6
30826,30827,0.000706995028968552,"Hex(2)HexNAc(2)NeuAc(2) _ H5N4F1S2","HILIC",NA,NA,4154753.33333333,NA,NA,30826,NA,NA,6
30872,30872,0.00083023694453371,"Hex(1)HexNAc(1)NeuAc(1) _ H7N8F2","HILIC",NA,NA,5993250,NA,NA,30872,NA,NA,6
30914,30913,0.00176167048979595,"Hex(1)HexNAc(1)NeuAc(1) _ H6N9F2","HILIC",NA,NA,16477433.3333333,NA,NA,30914,NA,NA,6
30932,0,0,"","HILIC",NA,NA,2636973.33333333,NA,NA,30932,NA,NA,7
30970,0,0,"","HILIC",NA,NA,2447089,NA,NA,30970,NA,NA,6
30977,0,0,"","C2 & CE",17570200,1538183.33333333,NA,30977,30978,NA,4,1,NA
31002,31001,0.0098894555862028,"Hex(1)HexNAc(1)NeuAc(2) _ H6N8F2","HILIC",NA,NA,21924233.3333333,NA,NA,31002,NA,NA,6
31016,31018,0.000683165578453694,"Hex(1)HexNAc(1)NeuAc(1) _ H7N8F3","HILIC",NA,NA,10514043.3333333,NA,NA,31016,NA,NA,7
31066,0,0,"","C2 & CE",16901966.6666667,1589793.33333333,NA,31066,31066,NA,5,2,NA
31076,31075,0.00173768088593694,"Hex(1)HexNAc(1)NeuAc(1) _ H7N9F2","HILIC",NA,NA,10523216.6666667,NA,NA,31076,NA,NA,6
31117,31116,0.00234938504532418,"Hex(1)HexNAc(1)NeuAc(1) _ H6N10F2","HILIC",NA,NA,21293633.3333333,NA,NA,31117,NA,NA,6
31131,31132,0.000399466219881676,"Hex(2)HexNAc(2)NeuAc(1) _ H6N9F1","HILIC",NA,NA,2996343.33333333,NA,NA,31131,NA,NA,7
31141,0,0,"","C2 & CE",8575320,1129647.66666667,NA,31141,31141,NA,4,2,NA
31165,31163,0.00582506402394057,"Hex(1)HexNAc(1)NeuAc(2) _ H7N8F2","HILIC",NA,NA,11046283.3333333,NA,NA,31165,NA,NA,6
31178,0,0,"","HILIC",NA,NA,5319103.33333333,NA,NA,31178,NA,NA,7
31180,0,0,"","C2 & CE",25286533.3333333,1936326.66666667,NA,31181,31180,NA,4,2,NA
31205,31204,0.0123601382228438,"Hex(1)HexNAc(1)NeuAc(2) _ H6N9F2","HILIC",NA,NA,27928600,NA,NA,31205,NA,NA,6
31222,31220,0.00229727395414277,"Hex(1)HexNAc(1)NeuAc(1) _ H7N9F1S1","HILIC",NA,NA,11918100,NA,NA,31222,NA,NA,7
31228,0,0,"","C2",10986083.3333333,NA,NA,31228,NA,NA,5,NA,NA
31269,0,0,"","C2 & CE",24480166.6666667,2194600,NA,31269,31270,NA,5,2,NA
31279,31278,0.00199132774198771,"Hex(1)HexNAc(1)NeuAc(1) _ H7N10F2","HILIC",NA,NA,8619086.66666667,NA,NA,31279,NA,NA,7
31320,31320,0.000883512778945296,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H6N9F2","HILIC",NA,NA,14737253.3333333,NA,NA,31320,NA,NA,6
31324,31325,0.00165826479056355,"Hex(1)HexNAc(1)NeuAc(1) _ H8N8F2S1","HILIC",NA,NA,2540360,NA,NA,31324,NA,NA,8
31342,0,0,"","C2 & CE",11313210,826004,NA,31343,31342,NA,4,1,NA
31351,31350,0.0105454691185383,"Hex(1)HexNAc(1)NeuAc(2) _ H6N9F3","HILIC",NA,NA,10498990,NA,NA,31351,NA,NA,6
31368,31366,0.0121918236479411,"Hex(1)HexNAc(1)NeuAc(2) _ H7N9F2","HILIC",NA,NA,28820733.3333333,NA,NA,31368,NA,NA,7
31374,0,0,"","C2",10839643.3333333,NA,NA,31374,NA,NA,5,NA,NA
31383,31383,0.00204527685167088,"Hex(1)HexNAc(1)NeuAc(1) _ H8N9F3","C2 & CE & HILIC",34030833.3333333,2647950,3491296.66666667,31384,31383,31383,4,2,8
31408,31407,0.01648362963851,"Hex(1)HexNAc(1)NeuAc(2) _ H6N10F2","HILIC",NA,NA,24953966.6666667,NA,NA,31408,NA,NA,6
31415,0,0,"","C2 & CE",19750500,1472422.66666667,NA,31415,31416,NA,2,2,NA
31431,0,0,"","C2 & CE",31655200,3602836.66666667,NA,31431,31431,NA,5,2,NA
31441,31441,0.00185909967729121,"Hex(2)HexNAc(2)NeuAc(1) _ H7N9F2","HILIC",NA,NA,941410.666666667,NA,NA,31441,NA,NA,10
31456,31454,0.00905776663747573,"Hex(1)HexNAc(1)NeuAc(2) _ H7N8F2S1","HILIC",NA,NA,33167466.6666667,NA,NA,31456,NA,NA,7
31460,0,0,"","HILIC",NA,NA,3922750,NA,NA,31460,NA,NA,6
31472,0,0,"","C2 & CE",30434933.3333333,3406143.33333333,NA,31472,31473,NA,5,2,NA
31489,0,0,"","C2",15640266.6666667,NA,NA,31489,NA,NA,4,NA,NA
31496,0,0,"","HILIC",NA,NA,10543130,NA,NA,31496,NA,NA,6
31515,0,0,"","HILIC",NA,NA,21793100,NA,NA,31515,NA,NA,7
31519,0,0,"","C2 & CE",29972700,3173163.33333333,NA,31519,31519,NA,7,3,NA
31524,31523,0.00117826331441092,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H6N10F2","HILIC",NA,NA,2641518.66666667,NA,NA,31524,NA,NA,6
31530,31528,0.0081649754413347,"Hex(1)HexNAc(1)NeuAc(2) _ H8N9F2","CE & HILIC",NA,2265323.33333333,5448096.66666667,NA,31531,31530,NA,2,8
31536,0,0,"","C2",6432583.33333333,NA,NA,31536,NA,NA,5,NA,NA
31546,31544,0.00863044950936381,"Hex(1)HexNAc(1)NeuAc(2) _ H9N9F1","C2 & CE",20799333.3333333,1058844.66666667,NA,31547,31545,NA,3,1,NA
31559,0,0,"","C2",9656340,NA,NA,31559,NA,NA,7,NA,NA
31571,31569,0.0139714471466241,"Hex(1)HexNAc(1)NeuAc(2) _ H7N10F2","HILIC",NA,NA,36906500,NA,NA,31571,NA,NA,7
31577,0,0,"","C2 & CE",28348566.6666667,3552616.66666667,NA,31577,31578,NA,5,2,NA
31588,31586,0.00245779377638348,"Hex(2)HexNAc(2)NeuAc(1) _ H7N9F1S1","C2 & HILIC",16282633.3333333,NA,4739773.33333333,31589,NA,31587,3,NA,8
31612,31612,0.000385151932670638,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H6N9F3","HILIC",NA,NA,3231473.66666667,NA,NA,31612,NA,NA,6
31616,31616,0.011634628689168,"Hex(1)HexNAc(1)NeuAc(2) _ H8N8F2S1","HILIC",NA,NA,22291900,NA,NA,31616,NA,NA,7
31620,31619,0.00131603493956755,"Hex(2)HexNAc(2)NeuAc(1) _ H9N9F1","HILIC",NA,NA,6890990,NA,NA,31620,NA,NA,8
31634,0,0,"","C2 & CE & HILIC",43007866.6666667,4313283.33333333,1915523.33333333,31634,31634,31633,5,3,9
31651,31650,0.000576924647880746,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H7N8F2S1","C2",9811126.66666667,NA,NA,31651,NA,NA,3,NA,NA
31659,31657,0.0199392612778841,"Hex(1)HexNAc(1)NeuAc(2) _ H7N9F2S1","HILIC",NA,NA,35084166.6666667,NA,NA,31659,NA,NA,7
31677,0,0,"","CE & HILIC",NA,2924433.33333333,14645900,NA,31678,31676,NA,3,8
31681,0,0,"","C2",23978966.6666667,NA,NA,31681,NA,NA,6,NA,NA
31699,0,0,"","HILIC",NA,NA,9597613.33333333,NA,NA,31699,NA,NA,7
31722,31724,0.00052005927840505,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H8N9F2","C2 & CE",33762733.3333333,3887683.33333333,NA,31722,31723,NA,6,3,NA
31732,31731,0.00947458437150412,"Hex(1)HexNAc(1)NeuAc(2) _ H8N10F2","HILIC",NA,NA,15729366.6666667,NA,NA,31732,NA,NA,8
31735,0,0,"","CE",NA,2623896.66666667,NA,NA,31735,NA,NA,2,NA
31740,31740,0.000549707145649083,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H9N9F1","C2",22707466.6666667,NA,NA,31740,NA,NA,5,NA,NA
31752,0,0,"","C2",7746943.33333333,NA,NA,31752,NA,NA,3,NA,NA
31761,0,0,"","C2 & CE",13794333.3333333,2004613.33333333,NA,31761,31762,NA,5,3,NA
31773,31772,0.00953077496344144,"Hex(1)HexNAc(1)NeuAc(2) _ H7N11F2","HILIC",NA,NA,26340400,NA,NA,31773,NA,NA,7
31781,0,0,"","C2 & CE & HILIC",23924366.6666667,3561083.33333333,3299090,31780,31781,31781,5,3,9
31793,0,0,"","CE",NA,489415.666666667,NA,NA,31793,NA,NA,1,NA
31796,0,0,"","C2",16958396.6666667,NA,NA,31796,NA,NA,5,NA,NA
31821,31820,0.0186352591170843,"Hex(1)HexNAc(1)NeuAc(2) _ H8N9F2S1","HILIC",NA,NA,33305100,NA,NA,31821,NA,NA,8
31830,31831,0.00152963542302638,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H7N10F3","C2",12141613.3333333,NA,NA,31830,NA,NA,13,NA,NA
31837,31836,0.001060929030829,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H8N8F2S1","C2 & CE & HILIC",28722166.6666667,3804830,5345033.33333333,31838,31837,31838,5,3,9
31862,31861,0.0218305566812074,"Hex(1)HexNAc(1)NeuAc(2) _ H7N10F2S1","HILIC",NA,NA,25216433.3333333,NA,NA,31862,NA,NA,7
31884,0,0,"","C2 & CE",43118600,4750436.66666667,NA,31884,31884,NA,6,3,NA
31894,31893,0.00356229590964945,"Hex(2)HexNAc(2)NeuAc(2) _ H8N9F2","HILIC",NA,NA,2500540,NA,NA,31894,NA,NA,9
31909,31909,0.00376537752091722,"Hex(2)HexNAc(2)NeuAc(2) _ H9N9F1","HILIC",NA,NA,12555833.3333333,NA,NA,31909,NA,NA,8
31926,31927,0.00060347340256381,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H8N10F2","C2 & CE & HILIC",35888833.3333333,4300536.66666667,7138456.66666667,31925,31926,31926,6,3,9
31935,31934,0.00609560057833645,"Hex(2)HexNAc(2)NeuAc(2) _ H7N10F2","HILIC",NA,NA,15077200,NA,NA,31935,NA,NA,8
31941,0,0,"","C2 & CE",28248666.6666667,2918476.66666667,NA,31942,31941,NA,5,3,NA
31952,31952,0.00230662087926935,"Hex(2)HexNAc(2)NeuAc(1) _ H8N10F3","HILIC",NA,NA,4215820,NA,NA,31952,NA,NA,7
31964,31966,0.0100598478012884,"Hex(1)HexNAc(1)NeuAc(2) _ H8N9F3S1","C2",10494980,NA,NA,31963,NA,NA,5,NA,NA
31972,0,0,"","C2 & CE",21481200,2120220,NA,31973,31971,NA,8,5,NA
31977,31977,0.00156046602809743,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H7N10F2S1","HILIC",NA,NA,10747400,NA,NA,31977,NA,NA,7
