,Sample name,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Name,
35302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331926,,,,,
35298,,,,,,,,,,,,,,,,2304870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2415310,,,,,,,,,,,,,,,,,,,,,
35295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1859760,2749220,,,,,,,,,,,,,,,,,,,,,,
35291,,,,,,,3489370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319158,,
35284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346762,,,
35280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257684
35269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362775,,,,,
35266,,,,,,,,,,,,5634430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2634210,,,,,,,,,,,,
35251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102247,,,,,,,,,,,,,,,,,,
35245,,,,,,,,,,,,,,,,,,,,,,,,2828120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35241,,,,,,,,,,,,2601590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485530,,,,,,,,,,,,,
35219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2466710,,,,,,,,,,,,,,,,,,,,,,,,,
35218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2471580,,,,,,,,,,,,,,,,,,,,,,,,,,
35216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2275850,,,,410399,,,
35215,,,,,,,,,,,,,18278400,,2301520,,,,,,,,,,,,,,,,,,,,,,22029600,36198700,3429750,,1309940,,,,,,,,,,,,,,9065440,5357070,828193,,,,
35214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2242380,,,,,,,,,,,,,,,,,,,,,,,,,,,
35212,,,,,,,,,,,3418350,4069420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35211,,,,,,,,,,,,,,8576580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35209,,,,,,,,,,,,,,,,,,,,1878730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85892.3,,,,,,,,,,,,,,,,,,
35153,,,,,,,,,,,,,,,,,1434170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2407590,,,,,,,,,,,
35149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377830,,,,,,,,,,,,,,
35135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695240,,,,,,,,
35131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4799040,,,,,,,,,,,,,,,,,,,,,,,,,,,
35130,,,,,,,,,,,,,,,,,,,,,,,,,,,,5848340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1516180,,,,,,,,,,,,,,,,,,304227,,
35125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3486670,,,,,,,,,,,,,,,,,,,,,,,,,,
35123,,,,,,,,,,,,,,,,,,,,,,,2169270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220450,,,,,,,
